IATA,Airport,Location
ERU,Erume Airport,"Erume, Papua New Guinea"
ERV,Kerrville Municipal Airport (Louis Schreiner Field),"Kerrville, Texas, United States"
ERZ,Erzurum Airport,"Erzurum, Turkey"
ESA,Esa'ala Airport,"Esa'ala, Papua New Guinea"
ESB,Esenboga International Airport,"Ankara, Turkey"
ESC,Delta County Airport,"Escanaba, Michigan, United States"
ESD,Orcas Island Airport (FAA: ORS),"Eastsound, Washington, United States"
ESE,Ensenada Airport,"Ensenada, Baja California, Mexico"
ESF,Esler Airfield (Esler Regional Airport),"Alexandria, Louisiana, United States"
ESG,Dr. Luis María Argaña International Airport,"Mariscal Estigarribia, Paraguay"
ESH,Shoreham Airport (Brighton City Airport),"Shoreham-by-Sea, England, United Kingdom"
ESI,Espinosa Airport,"Espinosa, Minas Gerais, Brazil"
ESK,Eskisehir Airport,"Eskisehir, Turkey"
ESL,Elista Airport,"Elista, Kalmykia, Russia"
ESM,Carlos Concha Torres International Airport,"Esmeraldas, Ecuador"
ESN,Easton Airport (Newnam Field),"Easton, Maryland, United States"
ESO,Ohkay Owingeh Airport (FAA: E14),"Española, New Mexico, United States"
ESP,Stroudsburg–Pocono Airport (FAA: N53),"East Stroudsburg, Pennsylvania, United States"
ESR,Ricardo García Posada Airport,"El Salvador, Chile"
ESS,Essen/Mülheim Airport,"Essen, North Rhine-Westphalia, Germany"
EST,Estherville Municipal Airport,"Estherville, Iowa, United States"
ESU,Essaouira-Mogador Airport,"Essaouira, Morocco"
ESW,Easton State Airport,"Easton, Washington, United States"
ETB,West Bend Municipal Airport,"West Bend, Wisconsin, United States"
ETD,Etadunna Airport,"Etadunna, South Australia, Australia"
ETE,Genda Wuha Airport,"Metemma, Ethiopia"
ETH,J. Hozman Airport,"Eilat, Israel"
ETM,Ramon Airport,"Eilat, Israel,"
ETN,Eastland Municipal Airport,"Eastland, Texas, United States"
ETR,Santa Rosa International Airport,"Santa Rosa, Ecuador"
ETS,Enterprise Municipal Airport (FAA: EDN),"Enterprise, Alabama, United States"
ETZ,Metz–Nancy–Lorraine Airport,"Metz / Nancy, Lorraine, France"
EUA,Eua Airport (Kaufana Airport),"Eua, Tonga"
EUC,Eucla Airport,"Eucla, Western Australia, Australia"
EUE,Eureka Airport (FAA: 05U),"Eureka, Nevada, United States"
EUF,Weedon Field,"Eufaula, Alabama, United States"
EUG,Eugene Airport (Mahlon Sweet Airport),"Eugene, Oregon, United States"
EUM,Neumünster Airport,"Neumünster, Schleswig-Holstein, Germany"
EUN,Hassan I Airport,"Laayoune, Morocco"
EUO,Paratebueno Airport,"Paratebueno, Colombia"
EUQ,Evelio Javier Airport (Antique Airport),"San Jose de Buenavista, Philippines"
EUX,F. D. Roosevelt Airport,"Oranjestad, Sint Eustatius, Caribbean Netherlands"
EVA,Ben Bruce Memorial Airpark (FAA: 4TE8),"Evadale, Texas, United States"
EVD,Eva Downs Airport,"Eva Downs, Northern Territory, Australia"
EVE,"Harstad/Narvik Airport, Evenes","Harstad / Narvik, Norway"
EVG,Sveg Airport,"Sveg, Sweden"
EVH,Evans Head Memorial Aerodrome,"Evans Head, New South Wales, Australia"
EVM,Eveleth-Virginia Municipal Airport,"Eveleth, Minnesota, United States"
EVN,Zvartnots International Airport,"Yerevan, Armenia"
EVV,Evansville Regional Airport,"Evansville, Indiana, United States"
EVW,Evanston-Uinta County Burns Field,"Evanston, Wyoming, United States"
EVX,Évreux-Fauville Air Base,"Évreux, Upper Normandy, France"
EWB,New Bedford Regional Airport,"New Bedford / Fall River, Massachusetts, United States"
EWE,Ewer Airport,"Ewer, Indonesia"
EWI,Enarotali Airport,"Enarotali, Indonesia"
EWK,Newton City/County Airport,"Newton, Kansas, United States"
EWN,Coastal Carolina Regional Airport,"New Bern, North Carolina, United States"
EWO,Ewo Airport,"Ewo, Republic of the Congo"
EWR,Newark Liberty International Airport,"Newark, New Jersey, United States"
EXI,Excursion Inlet Seaplane Base,"Excursion Inlet, Alaska, United States"
EXM,Exmouth Airport,"Exmouth, Western Australia, Australia"
EXT,Exeter International Airport,"Exeter, England, United Kingdom"
EYK,Beloyarsk Airport,"Beloyarsky, Khanty-Mansi Autonomous Okrug, Russia"
EYL,Yélimané Airport,"Yélimané, Mali"
EYP,El Alcaraván Airport,"Yopal, Colombia"
EYR,Yerington Municipal Airport (FAA: O43),"Yerington, Nevada, United States"
EYS,Eliye Springs Airport,"Eliye Springs, Kenya"
EYW,Key West International Airport,"Key West, Florida, United States"
EZE,Ministro Pistarini International Airport,"Buenos Aires, Argentina"
EZS,Elazig Airport,"Elazig, Turkey"
EZV,Beryozovo Airport,"Beryozovo, Khanty-Mansi Autonomous Okrug, Russia"
FAA,Faranah Airport,"Faranah, Guinea"
FAB,Farnborough Airport,"Farnborough, England, United Kingdom"
FAC,Faaite Airport,"Faaite, Tuamotus, French Polynesia"
FAE,Vágar Airport,"Vágar, Faroe Islands"
FAF,Felker Army Airfield,"Fort Eustis, Virginia, United States"
FAG,Fagurhólsmýri Airport,"Fagurhólsmýri, Iceland"
FAH,Farah Airport,"Farah, Afghanistan"
FAI,Fairbanks International Airport,"Fairbanks, Alaska, United States"
FAJ,Diego Jiménez Torres Airport (FAA: X95),"Fajardo, Puerto Rico, United States"
FAK,False Island Seaplane Base (FAA: 2Z6),"False Island, Alaska, United States"
FAM,Farmington Regional Airport,"Farmington, Missouri, United States"
FAO,Faro Airport,"Faro, Portugal"
FAQ,Frieda River Airport,"Frieda River, Papua New Guinea"
FAR,Hector International Airport,"Fargo, North Dakota, United States"
FAS,Fáskrúðsfjörður Airport,"Fáskrúðsfjörður, Iceland"
FAT,Fresno Yosemite International Airport,"Fresno, California, United States"
FAU,Fahud Airport,"Fahud, Oman"
FAV,Fakarava Airport,"Fakarava, Tuamotus, French Polynesia"
FAY,Fayetteville Regional Airport (Grannis Field),"Fayetteville, North Carolina, United States"
FAZ,Fasa Airport,"Fasa, Iran"
FBA,Fonte Boa Airport,"Fonte Boa, Amazonas, Brazil"
FBD,Fayzabad Airport,"Fayzabad, Afghanistan"
FBE,Francisco Beltrão Airport (Paulo Abdala Airport),"Francisco Beltrão, Paraná, Brazil"
FBG,Simmons Army Airfield,"Fort Bragg, North Carolina, United States"
FBK,Ladd Army Airfield,"Fairbanks, Alaska, United States"
FBL,Faribault Municipal Airport,"Faribault, Minnesota, United States"
FBM,Lubumbashi International Airport,"Lubumbashi, Democratic Republic of the Congo"
FBR,Fort Bridger Airport,"Fort Bridger, Wyoming, United States"
FBS,Friday Harbor Seaplane Base (FAA: W33),"Friday Harbor, Washington, United States"
FBY,Fairbury Municipal Airport,"Fairbury, Nebraska, United States"
FCA,Glacier Park International Airport (FAA: GPI),"Kalispell, Montana, United States"
FCB,Ficksburg Airport,"Ficksburg, South Africa"
FCH,Fresno Chandler Executive Airport,"Fresno, California, United States"
FCM,Flying Cloud Airport,"Eden Prairie, Minnesota, United States"
FCN,Nordholz Naval Airbase,"Cuxhaven, Lower Saxony, Germany"
FCO,Leonardo da Vinci–Fiumicino Airport,"Rome, Lazio, Italy"
FCS,Butts Army Airfield (Fort Carson),"Colorado Springs, Colorado, United States"
FCY,Forrest City Municipal Airport,"Forrest City, Arkansas, United States"
FDE,"Førde Airport, Bringeland","Førde, Norway"
FDF,Martinique Aimé Césaire International Airport,"Fort-de-France, Martinique"
FDH,Friedrichshafen Airport (Bodensee Airport),"Friedrichshafen, Baden-Württemberg, Germany"
FDK,Frederick Municipal Airport,"Frederick, Maryland, United States"
FDR,Frederick Regional Airport,"Frederick, Oklahoma, United States"
FDU,Bandundu Airport,"Bandundu, Democratic Republic of the Congo"
FDY,Findlay Airport,"Findlay, Ohio, United States"
FEA,Fetlar Airport,"Fetlar, Scotland, United Kingdom"
FEB,Sanfebagar Airport,"Sanfebagar, Nepal"
FEC,Feira de Santana Airport (Gov. João Durval Carneiro Airport),"Feira de Santana, Bahia, Brazil"
FEG,Fergana International Airport,"Fergana, Uzbekistan"
FEJ,Feijó Airport,"Feijó, Acre, Brazil"
FEK,Ferkessédougou Airport,"Ferkessédougou, Ivory Coast"
FEL,Fürstenfeldbruck Air Base,"Fürstenfeldbruck, Bavaria, Germany"
FEN,Fernando de Noronha Airport (Gov. Carlos Wilson Airport),"Fernando de Noronha, Pernambuco, Brazil"
FEP,Albertus Airport,"Freeport, Illinois, United States"
FET,Fremont Municipal Airport,"Fremont, Nebraska, United States"
FEZ,Fes–Saïss Airport,"Fez, Morocco"
FFA,First Flight Airport,"Kill Devil Hills, North Carolina, United States"
FFD,RAF Fairford,"Fairford, England, United Kingdom"
FFL,Fairfield Municipal Airport,"Fairfield, Iowa, United States"
FFM,Fergus Falls Municipal Airport (Einar Mickelson Field),"Fergus Falls, Minnesota, United States"
FFO,Wright-Patterson Air Force Base,"Dayton, Ohio, United States"
FFT,Capital City Airport,"Frankfort, Kentucky, United States"
FFU,Futaleufú Airfield,"Futaleufú, Chile"
FGD,Fderik Airport,"Fderîck, Mauritania"
FGI,Fagali'i Airport,"Apia, Upolu Island, Samoa"
FGU,Fangatau Airport,"Fangatau, Tuamotus, French Polynesia"
FHU,Sierra Vista Municipal Airport (Libby Army Airfield),"Sierra Vista, Arizona, United States"
FHZ,Fakahina Airport,"Fakahina, Tuamotus, French Polynesia"
FID,Elizabeth Field (FAA: 0B8),"Fishers Island, New York, United States"
FIE,Fair Isle Airport,"Fair Isle, Scotland, United Kingdom"
FIG,Fria Airport,"Fria, Guinea"
FIH,N'djili Airport (Kinshasa Int'l Airport),"Kinshasa, Democratic Republic of the Congo"
FIK,Finke Airport,"Finke (Aputula), Northern Territory, Australia"
FIL,Fillmore Municipal Airport (FAA: FOM),"Fillmore, Utah, United States"
FIN,Finschhafen Airport,"Finschhafen, Papua New Guinea"
FIZ,Fitzroy Crossing Airport,"Fitzroy Crossing, Western Australia, Australia"
FJR,Fujairah International Airport,"Fujairah, United Arab Emirates"
FKB,Karlsruhe/Baden-Baden Airport,"Karlsruhe / Baden-Baden, Baden-Württemberg, Germany"
FKI,Bangoka International Airport,"Kisangani, Democratic Republic of the Congo"
FKJ,Fukui Airport,"Fukui, Honshu, Japan"
FKL,Venango Regional Airport (Chess Lamberton Field),"Franklin, Pennsylvania, United States"
FKN,Franklin Municipal–John Beverly Rose Airport,"Franklin, Virginia, United States"
FKQ,Fakfak Torea Airport,"Fakfak, Indonesia"
FKS,Fukushima Airport,"Sukagawa, Honshu, Japan"
FLA,Gustavo Artunduaga Paredes Airport,"Florencia (Caquetá), Colombia"
FLB,Cangapara Airport,"Floriano, Piauí, Brazil"
FLD,Fond du Lac County Airport,"Fond du Lac, Wisconsin, United States"
FLF,Flensburg-Schäferhaus Airport,"Flensburg, Schleswig-Holstein, Germany"
FLG,Flagstaff Pulliam Airport,"Flagstaff, Arizona, United States"
FLH,Flotta Island Airport,"Flotta, Scotland, United Kingdom"
FLI,Holt Airport,"Flateyri, Iceland"
FLL,Fort Lauderdale–Hollywood International Airport,"Fort Lauderdale / Hollywood, Florida, United States"
FLM,Filadelfia Airport,"Filadelfia, Paraguay"
FLN,Hercílio Luz International Airport,"Florianópolis, Santa Catarina, Brazil"
FLO,Florence Regional Airport,"Florence, South Carolina, United States"
FLP,Marion County Regional Airport,"Flippin, Arkansas, United States"
FLR,"Florence Airport, Peretola (Amerigo Vespucci Airport)","Florence, Tuscany, Italy"
FLS,Flinders Island Airport,"Flinders Island, Tasmania, Australia"
FLT,Flat Airport,"Flat, Alaska, United States"
FLV,Sherman Army Airfield,"Fort Leavenworth, Kansas, United States"
FLW,Flores Airport,"Flores Island, Azores, Portugal"
FLX,Fallon Municipal Airport,"Fallon, Nevada, United States"
FLY,Finley Airport,"Finley, New South Wales, Australia"
FLZ,Ferdinand Lumban Tobing Airport,"Sibolga, Indonesia"
FMA,Formosa International Airport (El Pucú Airport),"Formosa, Argentina"
FME,Tipton Airport,"Fort Meade / Odenton, Maryland, United States"
FMH,Otis Air National Guard Base,"Falmouth, Massachusetts, United States"
FMI,Kalemie Airport,"Kalemie, Democratic Republic of the Congo"
FMM,Memmingen Airport,"Memmingen, Bavaria, Germany"
FMN,Four Corners Regional Airport,"Farmington, New Mexico, United States"
FMO,Münster Osnabrück International Airport,"Münster / Osnabrück (LS), North Rhine-Westphalia, Germany"
FMS,Fort Madison Municipal Airport (FAA: FSW),"Fort Madison, Iowa, United States"
FMU,Florence Municipal Airport (FAA: 6S2),"Florence, Oregon, United States"
FMY,Page Field,"Fort Myers, Florida, United States"
FNA,Lungi International Airport,"Freetown, Sierra Leone"
FNB,Neubrandenburg Airport,"Neubrandenburg, Mecklenburg-Vorpommern, Germany"
FNC,Madeira Airport,"Funchal, Madeira, Portugal"
FNE,Fane Airport,"Fane, Papua New Guinea"
FNG,Fada N'gourma Airport,"Fada N'gourma, Burkina Faso"
FNH,Fincha Airport,"Fincha, Ethiopia"
FNI,Nîmes–Alès–Camargue–Cévennes Airport (Garons Airport),"Nîmes, Languedoc-Roussillon, France"
FNJ,Pyongyang Sunan International Airport,"Pyongyang, North Korea"
FNL,Fort Collins–Loveland Municipal Airport,"Fort Collins/Loveland, Colorado, United States"
FNR,Funter Bay Seaplane Base,"Funter Bay, Alaska, United States"
FNT,Bishop International Airport,"Flint, Michigan, United States"
FNU,Oristano-Fenosu Airport,"Oristano, Sardinia, Italy"
FOA,Foula Airfield,"Foula, Scotland, United Kingdom"
FOB,Fort Bragg Airport (FAA: 82CL),"Fort Bragg, California, United States"
FOC,Fuzhou Changle International Airport,"Fuzhou, Fujian, China"
FOD,Fort Dodge Regional Airport,"Fort Dodge, Iowa, United States"
FOE,Topeka Regional Airport,"Topeka, Kansas, United States"
FOG,"Foggia ""Gino Lisa"" Airport","Foggia, Apulia, Italy"
FOK,Francis S. Gabreski Airport,"Westhampton Beach, New York, United States"
FOM,Foumban Nkounja Airport,"Foumban, Cameroon"
FON,La Fortuna Airport,"La Fortuna, Costa Rica"
FOO,Kornasoren Airport (Numfoor Airport),"Numfoor, Indonesia"
FOR,Pinto Martins – Fortaleza International Airport,"Fortaleza, Ceará, Brazil"
FOS,Forrest Airport,"Forrest, Western Australia, Australia"
FOT,Forster (Wallis Island) Airport,"Forster, New South Wales, Australia"
FOU,Fougamou Airport,"Fougamou, Gabon"
FOY,Foya Airport,"Foya, Liberia"
FPO,Grand Bahama International Airport,"Freeport, Grand Bahama, Bahamas"
FPR,St. Lucie County International Airport,"Fort Pierce, Florida, United States"
FPY,Perry-Foley Airport (FAA: 40J),"Perry, Florida, United States"
FRA,Frankfurt Airport,"Frankfurt, Hessen, Germany"
FRB,Forbes Airport,"Forbes, New South Wales, Australia"
FRC,Franca Airport (Ten. Lund Presotto–Franca State Airport),"Franca, São Paulo, Brazil"
FRD,Friday Harbor Airport (FAA: FHR),"Friday Harbor, Washington, United States"
FRE,Fera Airport (Fera/Maringe Airport),"Fera Island, Isabel Province, Solomon Islands"
FRG,Republic Airport,"Farmingdale, New York, United States"
FRH,French Lick Municipal Airport,"French Lick, Indiana, United States"
FRI,Marshall Army Airfield,"Fort Riley, Kansas, United States"
FRK,Frégate Island Airport,"Frégate Island, Seychelles"
FRL,Forlì International Airport (Luigi Ridolfi Airport),"Forlì, Emilia-Romagna, Italy"
FRM,Fairmont Municipal Airport,"Fairmont, Minnesota, United States"
FRN,Bryant Army Airport,"Anchorage, Alaska, United States"
FRO,Florø Airport,"Florø, Norway"
FRQ,Feramin Airport,"Feramin, Papua New Guinea"
FRR,Front Royal–Warren County Airport,"Front Royal, Virginia, United States"
FRS,Mundo Maya International Airport,"Flores, Guatemala"
FRT,Frutillar Airport,"Frutillar, Chile"
FRU,Manas International Airport,"Bishkek, Kyrgyzstan"
FRW,Francistown Airport,"Francistown, Botswana"
FRY,Eastern Slopes Regional Airport (FAA: IZG),"Fryeburg, Maine, United States"
FRZ,Fritzlar Air Base,"Fritzlar, Hesse, Germany"
FSC,Figari–Sud Corse Airport,"Figari, Corsica, France"
FSD,Sioux Falls Regional Airport (Joe Foss Field),"Sioux Falls, South Dakota, United States"
FSI,Henry Post Army Airfield (Fort Sill),"Lawton, Oklahoma, United States"
FSK,Fort Scott Municipal Airport,"Fort Scott, Kansas, United States"
FSL,Fossil Downs Airport,"Fossil Downs Station, Western Australia, Australia"
FSM,Fort Smith Regional Airport,"Fort Smith, Arkansas, United States"
FSP,Saint-Pierre Airport,"Saint-Pierre, Saint Pierre and Miquelon"
FSS,RAF Kinloss,"Forres, Scotland, United Kingdom"
FST,Fort Stockton–Pecos County Airport,"Fort Stockton, Texas, United States"
FSU,Fort Sumner Municipal Airport,"Fort Sumner, New Mexico, United States"
FSZ,Shizuoka Airport (Mt. Fuji Shizuoka Airport),"Shizuoka, Honshu, Japan"
FTA,Futuna Airport,"Futuna Island, Tafea, Vanuatu"
FTE,Comandante Armando Tola International Airport,"El Calafate, Santa Cruz, Argentina"
FTI,Fitiuta Airport (FAA: FAQ),"Fitiuta, American Samoa, United States"
FTK,Godman Army Airfield,"Fort Knox, Kentucky, United States"
FTU,Tôlanaro Airport (Marillac Airport),"Tôlanaro, Madagascar"
FTW,Fort Worth Meacham International Airport,"Fort Worth, Texas, United States"
FTX,Owando Airport,"Owando, Republic of the Congo"
FTY,Fulton County Airport (Charlie Brown Field),"Atlanta, Georgia, United States"
FUB,Fulleborn Airport,"Fulleborn, Papua New Guinea"
FUE,Fuerteventura Airport,"Fuerteventura, Canary Islands, Spain"
FUG,Fuyang Xiguan Airport,"Fuyang, Anhui, China"
FUJ,Fukue Airport (Goto-Fukue Airport),"Goto, Goto Islands, Japan"
FUK,Fukuoka Airport (Itazuke Air Base),"Fukuoka, Kyushu, Japan"
FUL,Fullerton Municipal Airport,"Fullerton, California, United States"
FUM,Fuma Airport,"Fuma, Papua New Guinea"
FUN,Funafuti International Airport,"Funafuti, Tuvalu"
FUO,Foshan Shadi Airport,"Foshan, Guangdong, China"
FUT,Pointe Vele Airport,"Futuna Island, Wallis and Futuna"
FVL,Flora Valley Airport,"Flora Valley, Western Australia, Australia"
FVM,Fuvahmulah Airport,"Fuvahmulah, Gnaviyani Atoll, Maldives"
FVR,Forrest River Airport,"Forrest River Mission, Western Australia, Australia"
FWA,Fort Wayne International Airport,"Fort Wayne, Indiana, United States"
FWH,NAS Fort Worth JRB / Carswell Field (FAA: NFW),"Fort Worth, Texas, United States"
FWL,Farewell Airport,"Farewell, Alaska, United States"
FXE,Fort Lauderdale Executive Airport,"Fort Lauderdale, Florida, United States"
FXO,Cuamba Airport,"Cuamba, Mozambique"
FXY,Forest City Municipal Airport,"Forest City, Iowa, United States"
FYJ,Fuyuan Dongji Airport,"Fuyuan, Heilongjiang, China"
FYM,Fayetteville Municipal Airport,"Fayetteville, Tennessee, United States"
FYN,Fuyun Koktokay Airport,"Fuyun, Xinjiang, China"
FYT,Faya-Largeau Airport,"Faya-Largeau, Chad"
FYU,Fort Yukon Airport,"Fort Yukon, Alaska, United States"
FYV,Drake Field (Fayetteville Executive Airport),"Fayetteville, Arkansas, United States"
FZO,Bristol Filton Airport,"Bristol, England, United Kingdom"
GAA,Guamal Airport,"Guamal, Colombia"
GAB,Gabbs Airport,"Gabbs, Nevada, United States"
GAC,Gracias Airport,"Gracias, Honduras"
GAD,Northeast Alabama Regional Airport,"Gadsden, Alabama, United States"
GAE,Gabès – Matmata International Airport,"Gabès, Tunisia"
GAF,Gafsa – Ksar International Airport,"Gafsa, Tunisia"
GAG,Gage Airport,"Gage, Oklahoma, United States"
GAH,Gayndah Airport,"Gayndah, Queensland, Australia"
GAI,Montgomery County Airpark,"Gaithersburg, Maryland, United States"
GAJ,Yamagata Airport (Junmachi Airport),"Yamagata, Honshu, Japan"
GAL,Edward G. Pitka Sr. Airport,"Galena, Alaska, United States"
GAM,Gambell Airport,"Gambell, Alaska, United States"
GAN,Gan International Airport,"Gan Island, Addu Atoll, Maldives"
GAO,Mariana Grajales Airport,"Guantánamo, Cuba"
GAP,Gusap Airport,"Gusap, Papua New Guinea"
